Number,Short Description,AI Generated Category,Confidence Score
"null","null","null","null"
"IM1133921","Ops Connect - will not acknowledge the CAC card reader-  F5 error","Hardware","75"
"IM1082030","Active Directory - Security group creation","Security Violation","60"
"null","null","null","null"
"null","null","null","null"
"IM1071867","ORCA at windows apps have trouble since Monday this week","Application Function Issue","85"
"IM1082075","Silly question - how to access a google chrome browser please","Access Authentication Failure","75"
"null","null","null","null"
"null","null","null","null"
"IM1082082","Zscaler - unable to access zscaler","Access Authentication Failure","90"
"IM1085366","ORCA not working","Application Function Issue","95"
"null","null","null","null"
"IM1082182","Printer - Need to get printer access","Access Grant Request","80"
"null","null","null","null"
"IM1082243","Concur- Not able to access Concur in Dashboard- First time","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1082273","Confluence access (RITM0771181)","Access Authentication Failure","90"
"IM1082318","Need to fix Power Bi access error","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1082361","Query reagrding link access:http://www.americanexpress.at/atwork","Access Authentication Failure","75"
"null","null","null","null"
"IM1082422","Concur; cannot access","Access Authentication Failure","90"
"IM1082571","Adm account access: User was facing issue with Adm account access","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1082584","CRM  access issues and VDI Temporary Profile  - unable to access some other applications - Moving to","Application Function Issue","70"
"IM1082616","Shared mailbox access issue : membership@westafrican-rescue.com","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1082739","Catalog for access for BitBucket access","Access Grant Request","75"
"IM1082749","Active Directory - Update DL","DL creation","90"
"null","null","null","null"
"null","null","null","null"
"IM1082871","user's International SOS and Aspire accounts need to be disabled- Catalog Enquiry","Access Revoke","80"
"IM1083099","Access Denied","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1152487","Others:Beneficiary search not working","Application Function Issue","70"
"IM1083178","myHR : User was not able to access application","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1117368","Others:Cognos controller","Application Function Issue","80"
"IM1125684","Others:CRM provider search is not working when the "Provider City" field is inserted.","Application Function Issue","70"
"null","null","null","null"
"null","null","null","null"
"IM1083230","Unable to access Teams Application","Application Function Issue","90"
"IM1134698","Others:Hi Team","Others","10"
"null","null","null","null"
"null","null","null","null"
"IM1083336","Nice Cxone - Unable to access - Getting blank page","Application Function Issue","85"
"IM1083418","I couldn't access my Citrix VDI  it's not opening.","Application Function Issue","95"
"null","null","null","null"
"null","null","null","null"
"IM1114327","Others:I have an issue with my UPS","Hardware","60"
"IM1141993","Others:i2i Response Centre and Tempus Pro","Application Function Issue","80"
"null","null","null","null"
"null","null","null","null"
"IM1128929","Others:IGB Transformer NULL error need to raise an icare ticket","Application Function Issue","75"
"IM1119464","Others:I'm not able to post or upload entries on Journal file upload. the error shows file are prote","Application Function Issue","90"
"null","null","null","null"
"null","null","null","null"
"IM1112991","Others:I'm trying to scan documents and it's saying that it's unable to save my scans to the compute","Application Function Issue","85"
"IM1083515","Cannot Access Shared Mailbox [ UOBReservePersonalSV@aspirelifestyles.com ]","Access Authentication Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1084116","Renee Petrilli Account Disabled","Access Authentication Failure","90"
"IM1117035","Others:My headphones are not working properly. The cardholder is claiming they are hearing backgroun","Hardware","85"
"null","null","null","null"
"null","null","null","null"
"IM1084168","unable to access oktopost","Application Function Issue","80"
"IM1084391","need to attend clients Exxon meeting via ZOOM but I can not access can ZOOM be installed in my compu","Access Grant Request","75"
"null","null","null","null"
"IM1135202","Others:No case ID created","Others","0"
"null","null","null","null"
"IM1084403","Unable to access SPIN","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1156734","Others:Replacement of Headset","Others","0"
"IM1084434","You disabled Adit OZA account.  Pease restore it.","Access Grant Request","90"
"null","null","null","null"
"IM1084562","CXone Agent - Unable to access","Application Function Issue","70"
"null","null","null","null"
"IM1103364","Others:Tempus i2 Tempus i2 pro not working","Others","0"
"null","null","null","null"
"IM1128320","Others:To transfer Viso license from Matt's Howe to Shamus Tung","Others","0"
"null","null","null","null"
"IM1112880","Others:Unable to find the transactions on Esker for 17th dated","Application Function Issue","80"
"null","null","null","null"
"null","null","null","null"
"IM1084712","Unable to access Zscaler","Access Authentication Failure","90"
"IM1105421","Others:unable to log in to Zscaler","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1084738","Unable to access Transmission report: tried signing in many times, but still failed to access. Error","Access Authentication Failure","95"
"IM1084999","rudy.delrosario@futurecareinc.com mailbox access granted to joanne.hohenstern@futurecareinc.com. Rud","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1105433","Others:Zscaler","Web Security","70"
"IM1108482","Others:Zscaler tells me is expired. I tried to re-authenticate","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1085246","Newcase - Unable to access newcase","Access Grant Request","90"
"IM1085431","Unable to access DXB cases- MPAR010357","Access Authentication Failure","80"
"null","null","null","null"
"IM1085469","My hr - unable to access","Access Authentication Failure","75"
"null","null","null","null"
"IM1085632","Requested for Newcase access to PHL","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1085674","i was advised to request access to live chat. please assist in installing the program and activating","Access Grant Request","85"
"IM1108442","PAM - Incident","Service/Process Failure","70"
"null","null","null","null"
"null","null","null","null"
"IM1085681","requesting access to live chat","Access Grant Request","95"
"IM1085744","EMR App access Request","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1085861","Concur- trouble accessing Concur","Access Authentication Failure","85"
"IM1085866","Cannot access VDI through Citrix Workspace","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1085923","Concur access request","Access Grant Request","95"
"IM1085956","Please remove Salesforce and Vonage access - rishikesh.yadav1@aspirelifestyles.com","Access Revoke","95"
"null","null","null","null"
"null","null","null","null"
"IM1085959","joanne.phui@ms.internationalsos.com- unable to access  my hr","Access Authentication Failure","80"
"IM1116023","Patch failed for server PHL1VDDCRD002.ISOSDEV.COM","Service/Process Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1136318","Patient data is not in the downloaded consultation report MMED","Application Function Issue","85"
"IM1086181","Error Accessing Old Insight Reports via TSO","Access Authentication Failure","75"
"null","null","null","null"
"null","null","null","null"
"IM1086207","newcase access seems to have been removed - need it restored as soon as possible","Access Grant Request","95"
"IM1086208","Unable to access the teams on corporate mobile","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1114826","PC - unable to open any applications , websites - Device not compliant","Security Violation","85"
"IM1152320","PC :  not able to read a CD for CT scan in my computer","Hardware","75"
"null","null","null","null"
"null","null","null","null"
"IM1152321","PC : computer charger","Hardware","90"
"IM1086252","User not able to access MYHR.","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1100882","pc/notebook - No applications are working in your system","Application Function Issue","85"
"IM1086352","User need the access to Oryx access.","Access Grant Request","70"
"null","null","null","null"
"null","null","null","null"
"IM1077083","PC/Notebook : Error is Device is not Compliant","Security Violation","90"
"IM1086421","trying to have access to a smartsheet","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1151528","PC: Audio not working","Access Authentication Failure","85"
"IM1087019","NewCase : User can not access Newcase","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1087073","TOP VDI login issue : User was not able to access TOP VDI","Access Authentication Failure","95"
"IM1123273","Philadelphia AC is not able to replicate the  MPHL023070  to Paris AC","Network","70"
"null","null","null","null"
"null","null","null","null"
"IM1087537","Printer and OneNote access","Access Authentication Failure","75"
"IM1087573","SPIN : Unable to access SPIN","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1076439","PHL New case is down","Node/Device Down","90"
"IM1082992","PHX1POWERSTORE01 - Storage high utilization","Application Function Issue","85"
"null","null","null","null"
"null","null","null","null"
"IM1091613","Playback not working","Access Authentication Failure","80"
"IM1087706","access to share Point","Access Grant Request","95"
"null","null","null","null"
"IM1087724","Infor Q&A access","Access Authentication Failure","75"
"null","null","null","null"
"IM1087733","Jfrog - unable to access","Access Authentication Failure","85"
"null","null","null","null"
"IM1087886","Required Smart console access for isos and Aspire Environment.","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1087897","user requested for security group access","Access Grant Request","95"
"IM1058624","Please be informed that when we have processed payment on 15th Dec on that time below bank detail ar","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1087908","POWER BI - not accessible because licence required","Access Grant Request","90"
"IM1087943","Concierge/Vendor Distro access-JPMC","Access Authentication Failure","70"
"null","null","null","null"
"null","null","null","null"
"IM1088001","No Access","Access Grant Request","85"
"IM1088158","Quantum Access","Access Revoke","95"
"null","null","null","null"
"null","null","null","null"
"IM1101585","Please deactivate Sun 6 for Maria Khelawan@internationalsos.com","null","null"
"null","null","null","null"
"IM1116021","Please fix my NICE so that all the agents, skills etc can be viewed under 'All' instead of having to","Access Authentication Failure","80"
"IM1088444","access not working","Access Authentication Failure","90"
"null","null","null","null"
"IM1088448","Access to SPIN not working","Access Authentication Failure","90"
"null","null","null","null"
"IM1088449","I cannot access to Riskman account","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1108739","Please re open ticket RITM0775325. It was not resolved and was closed without my confirmation. DL is","Service/Process Failure","70"
"IM1105146","Please re-open RITM0777482","Service/Process Failure","75"
"null","null","null","null"
"IM1088577","Unable to access Sitecore","Access Authentication Failure","85"
"null","null","null","null"
"IM1088673","Adobe Acrobat : User could not access Adobe Acrobat reader","Access Authentication Failure","80"
"null","null","null","null"
"IM1103950","Please tell me Primary Profile","Access Grant Request","90"
"null","null","null","null"
"IM1088682","Spin : User could not access Spin account, after entering credentials getting same page","Access Authentication Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1089120","User mentioned she is able to login to her laptop but unable to access all Microsoft applications","Application Function Issue","75"
"IM1071505","please update my IBM Cognos","Access Grant Request","80"
"null","null","null","null"
"null","null","null","null"
"IM1072163","pls provide the kay-vault :   ssl-certificates-prod","Access Grant Request","95"
"IM1142762","pls white list https://core-api-staging.vault.azure.net/","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1089177","Access to Microsoft visio","Access Authentication Failure","80"
"IM1089207","Unable to access SPIN from TRICARE DEVICE (TOP SIDE)","Node/Device Down","75"
"null","null","null","null"
"IM1089283","Oryx : User wanted to check Oryx access of id Mariza.Vandervyver@internationalsos.com","Access Grant Request","90"
"null","null","null","null"
"IM1089365","IT provided me a loaner and I was able to open and access new case on this device.","Access Grant Request","85"
"null","null","null","null"
"IM1089478","Catalog enquiry for TravelReady access request","Access Grant Request","75"
"null","null","null","null"
"null","null","null","null"
"IM1089650","Please grant me access to new case so that I can be run on transmission","Application Function Issue","60"
"IM1101230","Power Apps- APPROVAL Matrix need to be uploaded to Powerapps","Application Function Issue","80"
"null","null","null","null"
"IM1101236","Power Apps- Upload the Approval Matrix to powerapps","Application Function Issue","80"
"null","null","null","null"
"IM1089665","please grant new case access so i can be run on transmission","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1089766","No access to Microsoft TEAMS on TOP side","Access Authentication Failure","85"
"IM1089810","DL : User lost send as access to DL","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1089866","User needs access to ORYX","Access Grant Request","90"
"IM1140599","Prescription data is missing from the Prescription Download Report when added using the Prescription","Application Function Issue","80"
"null","null","null","null"
"IM1089957","Newcase issue: User not able to access newcase. Zscales is not authenticated.","Access Authentication Failure","90"
"null","null","null","null"
"IM1089984","Unable to access icare , MY HR","Access Authentication Failure","85"
"null","null","null","null"
"IM1090007","Okta user of Bobby Tetteh is disabled It needs to be enabled","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1090074","Access to DLB.GLB.GTMC","Access Authentication Failure","75"
"IM1107954","Printer- Enable secure printing","Application Function Issue","80"
"null","null","null","null"
"null","null","null","null"
"IM1090100","My social media access has been blocked","Access Authentication Failure","95"
"IM1090169","Unable to access SPIN","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1092845","Printer iRCC is offline","Hardware","90"
"IM1064124","Printer not working, giver error message, indicating that IP is inactive. Printer name RICOH IM C530","Network","85"
"null","null","null","null"
"null","null","null","null"
"IM1090331","User <Yumi Lo>unable to access Global Competency Framework on MyHR","Access Authentication Failure","90"
"IM1090354","Unable to access Top VDI , WPS focus - getting error as login error.","Application Function Issue","80"
"null","null","null","null"
"null","null","null","null"
"IM1090384","unable to access 360 - elearning","Access Authentication Failure","85"
"IM1090511","User is not able to access CXONE, ADP login ,QTC Program","Access Authentication Failure","80"
"null","null","null","null"
"IM1090643","TOP VDI - User is unable to access the VDI , locked out from the TOP VDI.","Access Authentication Failure","95"
"null","null","null","null"
"IM1065219","Prod-Gss Desktop - Not connecting.","Network","85"
"null","null","null","null"
"null","null","null","null"
"IM1090658","User need to raise the Access request for the application : BC Time Keeping and Cognos .","Access Grant Request","90"
"IM1090662","Active directory - Need to create DL creation request","DL creation","90"
"null","null","null","null"
"null","null","null","null"
"IM1086540","Profile and Medical Record Number Swapped","Security Violation","80"
"IM1091011","TOP DEERS  -  User in the Service center are unable to access the DEERS Application","Application Function Issue","95"
"null","null","null","null"
"null","null","null","null"
"IM1091163","my citrix access is having an error again","Access Authentication Failure","85"
"IM1091432","Newcase|| Newcase access for TPE and BJS","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1093206","Program product error in SSD","Application Function Issue","80"
"IM1077673","Program product error- NSM","Application Function Issue","80"
"null","null","null","null"
"IM1137749","Program product: 335704-1755599. This is of correct client ID: 1097131 but it is mapping with ID 566","Application Function Issue","75"
"null","null","null","null"
"IM1153445","Program products to be added. LE - SSD 612321-1736944 358790-1684202 615536-1718590","Application Function Issue","80"
"null","null","null","null"
"null","null","null","null"
"IM1094664","Project object not working","Application Function Issue","90"
"IM1106369","Provider change error","Service/Process Failure","70"
"null","null","null","null"
"IM1091439","Newcase|| Newcase access for TPE and BJS RITM0776548,RITM0776547 and RITM0776546","Access Grant Request","60"
"null","null","null","null"
"IM1091452","User calling from AC Center: Unable to login to computer or access NewCase","Access Authentication Failure","85"
"null","null","null","null"
"IM1100152","PTP Workflow Reject option not clickable","Application Function Issue","95"
"null","null","null","null"
"null","null","null","null"
"IM1134534","Q&A","Application Function Issue","80"
"IM1159426","Q&A  not working","Application Function Issue","90"
"null","null","null","null"
"null","null","null","null"
"IM1066788","Q&A Plugin not functioning","Application Function Issue","95"
"null","null","null","null"
"IM1091616","newcase not accessable","Access Authentication Failure","85"
"IM1157402","Qualification status not populated","Application Function Issue","90"
"null","null","null","null"
"null","null","null","null"
"IM1091619","can not access to it from EXCEL sheet because it is missing.","Access Authentication Failure","75"
"IM1091801","Unable to access Myhr","Access Authentication Failure","80"
"null","null","null","null"
"IM1092017","Please reset passworrd due to could not access application","Password Reset","95"
"null","null","null","null"
"IM1092018","I am blocked from the application Zscaler Two . I need to have access to this application so I can a","Access Authentication Failure","85"
"null","null","null","null"
"IM1092062","MyHR- Unable to access- 400 error","Access Authentication Failure","90"
"null","null","null","null"
"IM1092082","OKTA- Unable to access OKTA from old and new phone","Access Authentication Failure","80"
"null","null","null","null"
"IM1092094","First-time login failure: User cannot access DayForce WorkCloud application via OKTA","Access Authentication Failure","95"
"null","null","null","null"
"IM1095445","RE: Decommission servers as part of Jira ticket ITSSCLOUD-4308","Service/Process Failure","70"
"null","null","null","null"
"null","null","null","null"
"IM1140655","RE: Multiple authentication attempt from MID Server PHL1MIDPROD001","Access Authentication Failure","95"
"IM1139293","RE: Rebill ID 9292 & 9309","Access Grant Request","85"
"null","null","null","null"
"null","null","null","null"
"IM1112821","Re: Unable to audit for Aziz Siddique.","Application Function Issue","90"
"IM1092115","trying to use my Nice Row however there's a prompt like this: Application access denied.","Access Authentication Failure","80"
"null","null","null","null"
"IM1121695","RE: Unable to receive notification after submit the hydra request","Service/Process Failure","85"
"null","null","null","null"
"IM1123539","RE: Vulnerability Management || Notepad++ Stack Buffer Overflow Vulnerability (CVE-2026-5525)","Security Violation","95"
"null","null","null","null"
"IM1092174","Salesforce- Need access to salesforce","Access Grant Request","90"
"null","null","null","null"
"IM1092198","Hello, good morning. I´m trying to access to citrix app but I´m getting this error: Error Code: 5300","Application Function Issue","85"
"null","null","null","null"
"null","null","null","null"
"IM1092246","No access to PAR Client account management shared folder","Access Authentication Failure","80"
"IM1092317","I am requesting  access to new case attached is the access approval","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1092378","SPIN : User can not access Spin","Access Authentication Failure","90"
"IM1092453","GCMS Access Request","Access Grant Request","85"
"null","null","null","null"
"IM1092466","It says I don't have access to this application","Access Authentication Failure","80"
"null","null","null","null"
"IM1057293","RECURRING ISSUE OF WEBPAGE HANGING OR NOT RESPONDING","Application Function Issue","75"
"null","null","null","null"
"null","null","null","null"
"IM1092556","Unable to access E-learnings since March 16 (Monday) afternoon. Reached out to IT via Teams chat, un","Access Authentication Failure","70"
"IM1131709","Registry Editor Configuration","Security Violation","60"
"null","null","null","null"
"null","null","null","null"
"IM1094083","Remote application","Application Function Issue","50"
"IM1092579","unbale to access Facebook and X","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1094757","REMOVE  ATTACHED HOST NAME FROM AD","Security Violation","70"
"IM1092644","Quantum Access - RITM0776991","Service/Process Failure","60"
"null","null","null","null"
"IM1092707","User login to first time VDI, Inside VDI user not able to access any application, Authentication fai","Access Authentication Failure","90"
"null","null","null","null"
"IM1148037","Reopen ticket for RITM0795256","Service/Process Failure","50"
"null","null","null","null"
"null","null","null","null"
"IM1159812","Replicate GOP from IPA to IPU","Service/Process Failure","70"
"IM1122545","Replication Issue from BIGGER GSS to SUN","Service/Process Failure","60"
"null","null","null","null"
"null","null","null","null"
"IM1092725","Unable to access SPIN.","Access Authentication Failure","95"
"IM1092781","Cannot access SAP Concur Expenses","Access Authentication Failure","95"
"null","null","null","null"
"IM1092801","Urgent IT Support Required – Network Access Issue","Network","85"
"null","null","null","null"
"IM1092847","Unable to access - HR Blizz","Access Authentication Failure","95"
"null","null","null","null"
"IM1128238","Request for Assistance on T3 Code Matching to IKL_697789-1732510","Application Function Issue","70"
"null","null","null","null"
"IM1136824","Request for create T3 Code in IKL","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1140016","Request for create T3 Code in IKL _ 688559-1232959","Access Grant Request","90"
"IM1092876","Not able to access chat website","Access Authentication Failure","85"
"null","null","null","null"
"IM1093073","i need access to Smartsheet.","Access Grant Request","90"
"null","null","null","null"
"IM1093406","Query: Query about catalog link for  ISOS and europesos access","Application Function Issue","75"
"null","null","null","null"
"IM1075360","Request of deletion data on Visa Portal site","Access Revoke","80"
"null","null","null","null"
"IM1057912","Request to change App Policy from 'Production Policy' to 'Production Vendor Policy' in Zscaler.","Application Function Issue","85"
"null","null","null","null"
"null","null","null","null"
"IM1067883","Request to check and config DKIM record for aspirelifestyles.com domain","Application Function Issue","80"
"IM1117702","Request to remove this customer from the Luxury Magazine mailing list only","Access Revoke","95"
"null","null","null","null"
"null","null","null","null"
"IM1082943","Request to review errors in the intercompany invoice issuance template","Application Function Issue","85"
"IM1093432","multiple application refusing to load and unable to access DEERS","Access Authentication Failure","90"
"null","null","null","null"
"IM1093454","VDI - Unable to access VDI","Access Authentication Failure","80"
"null","null","null","null"
"IM1093617","Please can you grant me access to new case","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1093719","Remove access from Salesforce, Vonage for LC - Dewang.Rawal","Access Revoke","95"
"IM1117747","Requested to check-  reimbursement currency, legal entity, sublocation and cost center details to us","Access Authentication Failure","75"
"null","null","null","null"
"null","null","null","null"
"IM1149761","Requesting assistance to publish https://internationalsosms.sharepoint.com/sites/Manila/SitePages/Co","Access Grant Request","80"
"IM1082624","Restricted view","Application Function Issue","60"
"null","null","null","null"
"IM1104105","RIL AR Aging P09 Variance – Cognos Data Discrepancy","Service/Process Failure","85"
"null","null","null","null"
"IM1101063","Ringing in the background","Security Violation","50"
"null","null","null","null"
"IM1093720","Remove Access from Salesforce, Vonage for LC Dewang.Rawal","Access Revoke","95"
"null","null","null","null"
"IM1057079","RITM0759152","Access Authentication Failure","80"
"null","null","null","null"
"IM1078882","RITM0761446 - Bug introduced, missed scenario wasn’t covered in the initial testing","Application Function Issue","90"
"null","null","null","null"
"null","null","null","null"
"IM1079345","RITM0768030-aspire mailbox creation","Access Authentication Failure","85"
"IM1093759","facing some issues to access user account","Access Authentication Failure","70"
"null","null","null","null"
"null","null","null","null"
"IM1094013","SPIN- Unable to access SPIN","Access Authentication Failure","90"
"IM1094069","Access error","Access Authentication Failure","80"
"null","null","null","null"
"IM1151587","RITM0798998-Shared Mailbox Request","Access Grant Request","95"
"null","null","null","null"
"IM1063181","RMC (Risk Management Cost) transaction for program J50A1C997619 is wrongly booked in MYR","Service/Process Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1139906","RMC not found-Pertamina Internasional Eksplorasi dan Produksi, PT","Application Function Issue","80"
"IM1128861","RMM Dashboard: there're some missing cases.","Application Function Issue","90"
"null","null","null","null"
"IM1094446","Unable to access multiple applications. Error : unable to sign in","Access Authentication Failure","95"
"null","null","null","null"
"IM1149322","Run time error while running Sun to transformers file","Application Function Issue","90"
"null","null","null","null"
"null","null","null","null"
"IM1055954","Run-time error 9. Subscription out of range","Application Function Issue","85"
"IM1139288","Same error: I don't receive the code to log in.","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1094641","Our laptop can't access the website through LAN or WiFi","Network","75"
"IM1095050","Unable to access .ica file and logon to VDI","Access Authentication Failure","70"
"null","null","null","null"
"null","null","null","null"
"IM1095107","Fw: URGENT! Someone has accessed your account","Security Violation","65"
"IM1095119","Fw: URGENT! Someone has accessed your account","Security Violation","95"
"null","null","null","null"
"IM1122980","see above","Security Violation","95"
"null","null","null","null"
"IM1095125","FW: URGENT! Someone has accessed your account","Security Violation","95"
"null","null","null","null"
"IM1095145","FW: URGENT! Someone has accessed your account","Security Violation","95"
"null","null","null","null"
"IM1095149","RE: URGENT! Someone has accessed your account","Security Violation","95"
"null","null","null","null"
"null","null","null","null"
"IM1095154","RE: URGENT! Someone has accessed your account","Security Violation","95"
"IM1095208","FW: URGENT! Someone has accessed your account","Security Violation","95"
"null","null","null","null"
"null","null","null","null"
"IM1095270","I am unable to get access to Hydra feedback and Hydra Incident","Access Authentication Failure","85"
"IM1095587","HR cannot access MyHire platform (Eightfold)","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1095769","PC : User not able to access system as login screen is stuck","Hardware","75"
"IM1095812","Requested for service catalog to raise request for access to Manage med power Bi Finance","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1095815","Unable to access Aspect","Application Function Issue","70"
"IM1095986","User unable to access Apollo portal<http://apollo.intlsos.com/Default.aspx?ReturnUrl=%2fMailbox%2fIn","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1095997","Had access prior to going on leave - this application is no longer attached to my excel","Access Revoke","75"
"IM1112695","Several IOS need to actively clear cashe SEVERAL times per day to be able to see contacts in the dir","Application Function Issue","90"
"null","null","null","null"
"null","null","null","null"
"IM1096022","Unable to access MDC newcase","Access Authentication Failure","80"
"IM1072086","SFDC client 1687485 is not replicated to SUN","Service/Process Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1126649","SFDC MSA not linked","Access Authentication Failure","80"
"IM1055841","Shared files deleted by mistake","Application Function Issue","70"
"null","null","null","null"
"null","null","null","null"
"IM1096081","Cannot access to VDI within corporate environment","Access Authentication Failure","90"
"IM1100267","Shared mailbox issue - DMARC error","Service/Process Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1096291","User trying to access ZOOM application and unable to search none of the application's.","Application Function Issue","60"
"IM1096474","Unable to access Icare portal","Access Authentication Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1096477","Quantum TRM- Unable to access, getting error.","Service/Process Failure","80"
"IM1096495","MS user can't access ISOS account through The Teams mobile app","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1080936","SMTP Alert received 3 times","Service/Process Failure","90"
"IM1096597","Nice Incontact - Need an access for CxOne","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1080937","SMTP Alert received 4 times","Service/Process Failure","90"
"IM1096664","Newcase - cannot access SIN Newcase","Access Authentication Failure","90"
"null","null","null","null"
"IM1096673","Newcase - cannot access SIN Newcase","Access Authentication Failure","90"
"null","null","null","null"
"IM1096681","Fw: Hydra Access request-RITM00761492_Damlik Logo","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1055080","Snowstorm error","Application Function Issue","80"
"IM1100478","Snowstorm page bloacked by Zscaler","Web Security","90"
"null","null","null","null"
"null","null","null","null"
"IM1096885","Can't Access Teams on Laptop","Access Authentication Failure","85"
"IM1097033","User unable to access smart sheet","Access Authentication Failure","80"
"null","null","null","null"
"IM1130654","SOMEM_SOAK_AR3V Template Error in AR3","Application Function Issue","75"
"null","null","null","null"
"IM1143488","SSC error in test environment","Service/Process Failure","70"
"null","null","null","null"
"IM1097070","No access to features needed","Access Authentication Failure","65"
"null","null","null","null"
"IM1097089","I dont have access to NICE ROW app","Access Authentication Failure","60"
"null","null","null","null"
"null","null","null","null"
"IM1097174","She is having issues with accessing sharepoint and other webpages on VDI","Access Authentication Failure","85"
"IM1097259","NewCase JNB - User is unable to access JNB NewCase.","Application Function Issue","75"
"null","null","null","null"
"null","null","null","null"
"IM1097308","Unable to access browser - Getting error as trouble signing in","Access Authentication Failure","90"
"IM1121050","Sun 6 Authentication Failure","Service/Process Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1145180","Sun 6 Payment Run Issue","Service/Process Failure","85"
"IM1110138","SUN 6 UPLOAD","Application Function Issue","70"
"null","null","null","null"
"IM1158676","Sun Cloud  - PAYMENT RUN ERROR","Service/Process Failure","90"
"null","null","null","null"
"IM1097776","I require access to Oryx Connect, I have access to Oryx itself but not to Connect","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1152928","SUN Cloud [E2E] : IRF missing in SOE for LE DAN","Application Function Issue","90"
"IM1082818","SUN Cloud [E2E] : IRF missing in SOE for LE GVA, BCT, LON and SSD","Application Function Issue","90"
"null","null","null","null"
"IM1056348","Sun cloud: Amount is missing in SQF report","Application Function Issue","90"
"null","null","null","null"
"IM1110268","SUN CLOUD:Getting incorrect entry date on journal template for manual postings - Journal Type - BKMS","Application Function Issue","80"
"null","null","null","null"
"null","null","null","null"
"IM1098303","User is unable to access SPIN via TOP credentials from within the VDI","Access Authentication Failure","95"
"IM1098538","Newcase - User is unable to access the MDC Newcase","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1066818","sun QNA- facing a QnA issue while posing the JV","Application Function Issue","85"
"IM1098692","unable to access New Case","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1098850","Access keeps locking up and screen keeps freezing","Service/Process Failure","75"
"IM1084849","Suncloud - unable to upload the journal","Access Authentication Failure","70"
"null","null","null","null"
"null","null","null","null"
"IM1098997","Quantum- cannot access mail inbox","Access Authentication Failure","65"
"IM1099010","Access for sharepoint rights","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1099059","Remote M365 E3 Lcense from disabled Aspire User account","Access Authentication Failure","85"
"IM1102295","Switches are down - TKD1 location","Node/Device Down","95"
"null","null","null","null"
"null","null","null","null"
"IM1099112","Need access back to Clip Champ App","Access Grant Request","80"
