Number,Short Description,AI Generated Category,Confidence Score
"INC4037533","Unable to access office application  - Changed mobile","Access Authentication Failure","85"
"INC4037510","The sound is not working correctly on my lap top","Application Function Issue","90"
"INC4037461","Prompt for bitlocker recovery key","Password Reset","95"
"INC4037029","FOrgot Password on iphone","Password Reset","90"
"INC4036933","Need help on installing Microsoft Project","Application Function Issue","80"
"INC4036920","need to activate new phone","Access Grant Request","85"
"INC4036881","Printer not visible","Hardware","90"
"INC4036689","Unable to sign in to the laptop","Access Authentication Failure","95"
"INC4036676","Oracle getting timed out frequently","Service/Process Failure","85"
"INC4036672","Cannot install datasourses in projectwise","Application Function Issue","80"
"INC4036650","Not able to post Web ADI","Application Function Issue","75"
"INC4036624","Undo button has disappeared from Microsoft Word","Application Function Issue","60"
"INC4036554","Media Player cannot reproduce MP4 files","Application Function Issue","65"
"INC4036547","Please install printer for 10th floor indiqube building","Hardware","70"
"INC4036484","user account is locked","Access Authentication Failure","90"
"INC4036480","We are unable to use the Cannon Genric Plus PCL6 photocopier as a document scanner direct to PC's","Hardware","95"
"INC4036433","Color Print is not coming","Hardware","90"
"INC4036424","I installed Autodesk AutoCAD 2026.1, but it isn’t showing up in the apps or search results","Application Function Issue","85"
"INC4036409","Changed PC - Need SmartView","Hardware","80"
"INC4036382","my headphones aren't working properly.. there's no sound in left ear","Hardware","90"
"INC4036355","Cannot access Position papers link. atkins website","Web Security","80"
"INC4036350","How can stop receiving (Automating User Nonactive Accounts Process) mail","Access Grant Request","70"
"INC4036188","Laptop Keyboard Down Key is popping out.","Hardware","90"
"INC4036171","Revit 2024 Installation","Application Function Issue","85"
"INC4036101","Mouse not working","Hardware","95"
"INC4035369","Timesheet in Error","Service/Process Failure","85"
"INC4035302","New user role Access for Kofax / Mark view","Access Grant Request","75"
"INC4035251","InEight Estimator not working","Application Function Issue","80"
"INC4035250","InEight Estimator not working","Application Function Issue","95"
"INC4035248","InEight Estimator not working","Application Function Issue","95"
"INC4035113"," I am facing my laptop display color disorientation","Hardware","85"
"INC4035108","Search bar windows not working","Application Function Issue","90"
"INC4035096","Unable to access shared folder from Hitachi","Access Authentication Failure","75"
"INC4035064","Mouse is not working","Hardware","90"
"INC4034941","Zscaler stopped working","Service/Process Failure","80"
"INC4034888","Project sharepoint "SYNC" issue","Application Function Issue","85"
"INC4034791","I need 4th floor printer Installation","Hardware","95"
"INC4034565","Outlook issue","Application Function Issue","85"
"INC4034508","To whom it may concern, would you please assist me with BMI 360 uploading my attachments? A person f","Hardware","90"
"INC4034321","I HAVE A NEW LAPTOP AND CANNOT CONNECT TO THE PRINTER ON SITE","Access Grant Request","70"
"INC4034280","Team members IT assets are not listed making it impossible to request software","Service/Process Failure","80"
"INC4034199","sli.bz/harii3 receive an email stating account will be closed","Access Authentication Failure","80"
"INC4034184","Zscaler is showing as connecting","Application Function Issue","70"
"INC4034146","Need to add 10th floor printer","Hardware","90"
"INC4034114","I have raised an incident to request access to the path: \\SLI4032\Public\INOPC_Engineering\PGGI-288","Access Grant Request","85"
"INC4033968","usb-c ports on my laptop topped working","Hardware","95"
"INC4033955","To whom it may concern, would you please assist me with BMI 360 uploading my attachments? Thank you.","Access Grant Request","85"
"INC4033954","Headphones not working","Hardware","90"
"INC4033924","for updating FOXIT PDF EDITOR admin rights are required","Access Grant Request","80"
"INC4033878","Excel is opening in Arabic format","Application Function Issue","95"
"INC4033873","headset not working","Hardware","90"
"INC4033869","microphone is not working on laptop","Hardware","90"
"INC4033862","Outlook is very slow.","Service/Process Failure","85"
"INC4033836","Raising Request Related help","Access Grant Request","85"
"INC4033830","Printer Quality - Lines come out when printing images.","Hardware","90"
"INC4033759","Authenticator and connection of new phone to W S Atkins systems.","Access Authentication Failure","80"
"INC4033675","Request to Update Account Status from External to Internal","Access Grant Request","95"
"INC4033659","Authenticator Issue","Access Authentication Failure","75"
"INC4033631","Some network issue in INCHE1 location.","Network","90"
"INC4033614","Headset Issue not working with my laptop","Hardware","85"
"INC4033543","Mouse not working properly","Hardware","95"
"INC4033066","Installation of LASzip","Application Function Issue","85"
"INC4033046","Need to connect to the printer at the site office at Hinkley Point C -Schedule to work  on 27/02@10","Hardware","90"
"INC4032859","Cant Print","Hardware","90"
"INC4032829","Mouse scroll button is not working","Application Function Issue","80"
"INC4032794","I cant print out correctly with revit. There is an issue even if i have the correct settings.","null","null"
"INC4032753","Need P6 software and connect to the printer","Application Function Issue","85"
"INC4032703","Need to reset oracle EBS password","Password Reset","95"
"INC4032624","Sync between Teams and Sharepoint is not working","Application Function Issue","80"
"INC4032547","Teams meeting invite couldn't be able to create in outlook mail","Application Function Issue","75"
"INC4032463","MS Project is not working","Hardware","90"
"INC4032399","Laptop charger power adapter not working","Hardware","90"
"INC4032305","Monitor is not working","null","null"
"INC4031664","Enable fingerprint and PIN number for my System Login","Access Authentication Failure","95"
"INC4031651","Help with autocad","Application Function Issue","90"
"INC4031621","one drive sync issue","Application Function Issue","90"
"INC4031602","One drive Sync issue -Reg.,","Access Authentication Failure","95"
"INC4031599","I could hear on my earphones online training content few days ago and now it has somehow stopped. Wo","Hardware","80"
"INC4031562","Unlock account","Access Authentication Failure","95"
"INC4031528","Account lockout","Access Authentication Failure","95"
"INC4031413","new hire haven't received login credentials","Employee Onboarding","90"
"INC4031319","Printer Access Required","Access Grant Request","95"
"INC4031254","Cannot open Autocad software, The code execution cannot proceed because adui24.dll was not found. Re","Application Function Issue","90"
"INC4031204","Not Able to login in EPM lined file","Access Authentication Failure","85"
"INC4031115","\\SLI4032\Public\INOPC_Engineering\PGGI-2883-UK -Access required","Access Grant Request","90"
"INC4031093","Microsoft Package in Arabic (Word, excel, etc)","Security Violation","80"
"INC4031062","Required to change the Login password for my system","Password Reset","95"
"INC4030375","cannot add printer from the network","Network","85"
"INC4030274","Disk space is full. I couldn't access excel files.","Application Function Issue","90"
"INC4030248","Since a few days, I cannot preview pdf attachments in my mail any longer.","Application Function Issue","80"
"INC4030185","I BEX issue","Application Function Issue","75"
"INC4030167","Unable to download SCF form after creation","Hardware","95"
"INC4030125","Mouse is not working.","Application Function Issue","70"
"INC4030118","Unable to find AutoCAD 2026 in Software Center","null","null"
"INC4030017","returned from several weeks of annual leave to find I cannot get access to my work emails both on ph","Access Authentication Failure","95"
"INC4029967","cannot access BIM 360 MODEL","Application Function Issue","90"
"INC4029929","OneDrive not working properly","Application Function Issue","90"
"INC4029912","Outlook - Unable to receive emails","Application Function Issue","95"
"INC4029884","Need to setup the MFA authentication","Access Authentication Failure","85"
"INC4029761","unable to login to the account","Access Authentication Failure","90"
"INC4029759","Zscaler blocking access to MEGA file transfer platform","Web Security","80"
"INC4029744","To activate a Service account for HSE","Access Grant Request","95"
"INC4029734","While opening pdf in foxit, its asking for SSO login and unable to log in the same.","Access Authentication Failure","90"
"INC4029699","password reset","Password Reset","100"
"INC4029691","Request for Shared Mailbox Access","Access Grant Request","90"
"INC4029605","Unable to access the printer to the system","Hardware","85"
"INC4029353","BITLOCKER RECOVERY MESSAGE APPEARED","Security Violation","80"
"INC4029255","Foxit PDF Viewer no longer working","Application Function Issue","85"
"INC4028875","Forward your emails to a channel","Application Function Issue","80"
"INC4028759","Not able to access company email in my mobile","Access Authentication Failure","70"
"INC4028736","Didcot - Low printing quality, as staff are not being able to connect to the printer through server.","Hardware","60"
"INC4028645","Headset not working","Hardware","80"
"INC4028637","ORACLE not working","Application Function Issue","70"
"INC4028622","unable to connect to PIRS. password issue??","Password Reset","80"
"INC4028617","pdf files not able to open","Application Function Issue","70"
"INC4028614","One drive sync problem","Application Function Issue","95"
"INC4028613","Excel is not working, it shows the notification that to reinstall the MS Office package","Application Function Issue","90"
"INC4028612","OneDrive Shortcut keeps disappearing","Application Function Issue","85"
"INC4028551","Lpile2022 application is not working","Application Function Issue","90"
"INC4028537","Standalone license not found and general broadcast for ork license failed","Service/Process Failure","80"
"INC4028528","Unable to open foxit","Application Function Issue","90"
"INC4028526","The FOXIT editor is not working.","Application Function Issue","90"
"INC4028491","Teams audio is not working","Application Function Issue","95"
"INC4028450","Need DocuSign Login for Signature purposes","Access Authentication Failure","90"
"INC4028434","Laptop not working for the past 1 Day","Hardware","85"
"INC4028401","unable to login to the foxit app","Access Authentication Failure","90"
"INC4028400","Foxit pdf editor is asking for login","Access Authentication Failure","90"
"INC4028388","My OneDrive not sync","Service/Process Failure","80"
"INC4028377","Foxit pdf editor not working, asking credentials","Access Authentication Failure","90"
"INC4028360","Timesheet access not opening","Application Function Issue","85"
"INC4028341","FOXIT PDF NOT WORKING","Application Function Issue","95"
"INC4028335","user unable to launch pdf","Application Function Issue","95"
"INC4028126","BO reports are not updated after 13th Feb 2026","Application Function Issue","95"
"INC4027954","Unable to find timesheet option on Oracle","Application Function Issue","95"
"INC4027818","PDF reader needs to be installed","Application Function Issue","95"
"INC4027675","Needs help with setting up Mobile phone , Company Portal, TEAMS, Email etc","Access Authentication Failure","80"
"INC4027659","Can't access one drive via my service account.","Access Authentication Failure","80"
"INC4027649","Unable to access z drive on company laptop","Hardware","90"
"INC4027627","After system updates, cannot get laptop to display to different screens.","Hardware","85"
"INC4027288","DESKTOP CONNECTOR INSTALLATION TAKING TOO LONG","Hardware","95"
"INC4027156","Please add my system 4th Floor Printer","Access Grant Request","90"
"INC4027099","assign and add the printer to the laptop","Access Grant Request","85"
"INC4027085","Unable to Login SAPBI with the password","Password Reset","80"
"INC4027083","Connect to Print","Access Grant Request","85"
"INC4027020","unable to open powerfactory","Application Function Issue","95"
"INC4026954","DSC utility not working","Application Function Issue","95"
"INC4026713","FACIAL RECOGNITION AND PIN LOGIN HAVE BECOME INOPEABLE","Access Authentication Failure","85"
"INC4026488","Software required to use on site scanner for drawings","Application Function Issue","90"
"INC4026369","I believe my laptop is dead","Hardware","80"
"INC4026332","SAP BO - not able to login","Access Authentication Failure","90"
"INC4026300","Blue Beam printing Error","Application Function Issue","95"
"INC4026204","Issue with PO approval","Service/Process Failure","85"
"INC4025952","Unable to activate ETAP license","Application Function Issue","85"
"INC4025929","I want to uninstall revit 2022","Access Revoke","75"
"INC4025895","Zscalar not connecting from Home Network","Network","90"
"INC4025885","SAP Business Object Not able to Connect","Application Function Issue","80"
"INC4025882","SAP -BO login issue","Access Authentication Failure","85"
"INC4025848","chat pop up not showing","Application Function Issue","70"
"INC4025827","50% installation in 5 days","Service/Process Failure","65"
"INC4025822","Workstation laptop incorrect OS language during build | Assign to SD - EU LINXON > Sunny Bharadwa","Hardware","90"
"INC4025821","Workstation laptop incorrect OS language | Assign to SD - EU LINXON > Sunny Bharadwa","Hardware","90"
"INC4025819","Install printers and monitor display issue | Assign to SD - EU LINXON > Sunny Bharadwa","Hardware","80"
"INC4025803","Unable to open a Visio file","Application Function Issue","70"
"INC4025695","BI launch Pad - SAP Business Report","Application Function Issue","60"
"INC4025188","Sharepoint/Onedrive Sync Failure","Service/Process Failure","95"
"INC4025116","I have another site I need access to. It’s a customer site that we need to be able to register for b","Access Grant Request","85"
"INC4024820","User need help with the java installation","Application Function Issue","90"
"INC4024813","User need help with the MFA setup","Application Function Issue","80"
"INC4024798","IT SSC - Specific request or Question - NAC50058","Security Violation","70"
"INC4024785","Microsoft Project MPP file not Opening Need Access for Microsoft Project file","Access Grant Request","80"
"INC4024701","AutoCAD Software is not installing.","Application Function Issue","95"
"INC4024591","Print out of words and E-Mails with our OKI - Printer have problems , PDf works fine, on site;","Hardware","85"
"INC4024560","Oracle Login Issue","Access Authentication Failure","90"
"INC4024512","Oracle not working","Access Authentication Failure","90"
"INC4024449","Getting Oracle Error as Failure of Web Server bridge: Internal processing error","Service/Process Failure","95"
"INC4024445","Oracle error - Failure of Web Server bridge: Internal processing error","Service/Process Failure","95"
"INC4024398","Need to install teams in mobile","Application Function Issue","80"
"INC4024396","The Oracle SLI CH Timesheet Interface is showing an error once logged in. I can't register the time.","Application Function Issue","90"
"INC4024395","Oracle Issue","Application Function Issue","70"
"INC4024309","Unable to sign in, new user","Access Authentication Failure","85"
"INC4024300","Access to Timesheet Linxon Germnany for Dominik Eckel.","Access Grant Request","95"
"INC4024230","Dongle wifi for laptop - Lost","Hardware","90"
"INC4024226","I need to activate Bentley Licensing Tool","Application Function Issue","85"
"INC4023974","Lock out of computer","Access Authentication Failure","95"
"INC4023818","I need access to adobe illustrator, is it just not downloaded? Same with photoshop","Access Grant Request","85"
"INC4023773","unable to connect to the plotter","Hardware","90"
"INC4023738","Ooutlooks is blocking one of my vendors","Application Function Issue","80"
"INC4023696","Unable to Open PDF Files with the Foxit Reader","Application Function Issue","85"
"INC4023656","Outlook issue searching mailbox | Assign to SD - EU LINXON > Sunny Bharadwa","Service/Process Failure","75"
"INC4023624","Not able to open PDF files","Application Function Issue","90"
"INC4023593","Foxit PDF Editor often stops working most prob after the recent update on the Laptop (incl Bios upda","Application Function Issue","85"
"INC4023548","Clicked spam mail by mistake","Security Violation","95"
"INC4023487","The Teams button in Outlook disappears in Outlook","Application Function Issue","80"
"INC4023481","Laptop Battery does not hold charge more than an hour","Hardware","95"
"INC4023475","Install Tekla warehouse","Application Function Issue","75"
"INC4023404","MX Keys keyboard pairing","Hardware","85"
"INC4023385","account is expired","Access Authentication Failure","95"
"INC4023356","I want to use Macbook and company profile is not installing.","Application Function Issue","85"
"INC4023292","Issue with login credentials its showing account expired","Access Authentication Failure","90"
"INC4023120","connection to the LTP2 printer at Newcross site","Hardware","75"
"INC4023060","Bluescreen error continuously","Service/Process Failure","80"
"INC4022963","Driver issue","Hardware","70"
"INC4022742","Not able to open PDF","Application Function Issue","65"
"INC4022707","My charger given along with the Laptop is not working","Hardware","95"
"INC4022493","ms office required sign in ,","Access Authentication Failure","85"
"INC4022133","Laptop Battery issue & Replacement of Broken Keypad","Hardware","90"
"INC4022032","Laptop is not charging.","Hardware","90"
"INC4021924","Chrome is not installed","Application Function Issue","80"
"INC4021850","LOGIN PROBLEM OF ORACLE AND KOFAX","Access Authentication Failure","75"
"INC4021834","Need Oracle Supply chain/Procurement/Sourcing Module Access to view POs, Payment Status, PO to Payme","Access Grant Request","85"
"INC4021747","Need add printer","Hardware","80"
"INC4021685","Need to install Google Chrome","Application Function Issue","85"
"INC4021647","CCTV 3rd floor access request","Access Grant Request","75"
"INC4021642","Printer Configuration","Hardware","80"
"INC4021629","I can not access my time sheet","Application Function Issue","85"
"INC4021540","foxit PDF editor software not working","Application Function Issue","85"
"INC4021519","Dayforce ESS Portal not opening","Application Function Issue","85"
"INC4021445","In the MYIT, the chat option is not available for INCHE2 location all users.","Application Function Issue","85"
"INC4020784","I`m not allowed to access translate pages , such googles translate","Access Authentication Failure","85"
"INC4020765","Installation of Revit 2024","Application Function Issue","90"
"INC4020547","My laptop camera  is not working .","Hardware","95"
"INC4020519","Foxit pdf hangs during first launch","Application Function Issue","90"
"INC4020337","Mail box not working","Network","90"
"INC4020247","Not able to connect wifi network","Password Reset","95"
"INC4020161","Password reset","Application Function Issue","90"
"INC4020151","Uninstall of Revit 2025 and microstation 2024","null","null"
"INC4020137","The laptop keys are working automatically","Hardware","90"
"INC4020117","HEADSET MIC NOT WORKING","Hardware","95"
"INC4020105","My laptop doesn't charge via USB-C from Dock-1st message send on 12/02","Hardware","85"
"INC4020104","Laptop hanging","Application Function Issue","80"
"INC4020073","Account unblock and password reset","Password Reset","95"
"INC4020007","Not able to install Microstation","Application Function Issue","85"
"INC4019722","License is not yet issued with regarding REQ2364897 - ETAP Global Suite 2024 (24.0.0.24192)","Access Grant Request","80"
"INC4019562","License is not yet issued with Regards to REQ2339402 - RITM5479588 - DIgSILENT PowerFactory 2025 SP4","Service/Process Failure","85"
"INC4019543","E-mail message could not be delivered to one or more recipients.","Network","75"
"INC4019519","Vulnerable Software Update or Removal Required - Edge Addon: AdGuard AdBlocker","Security Violation","90"
"INC4019264","SharePoint environment where any changes","Access Grant Request","60"
"INC4019211","Server is not reachable.","Node/Device Down","80"
"INC4019093","Unable to connect to Star Link home wifi | Assign to SD - UK DESKSIDE > Sunny Bharadwa","Network","90"
"INC4019063","Having Zscaler issue","Application Function Issue","85"
"INC4019043","Error coming while using DSC utility","Application Function Issue","80"
"INC4019013","Need to Install Printer","Hardware","95"
"INC4018982","Excel file not opening","Application Function Issue","75"
"INC4018719","Physical damage in laptop Asset number - 705022, S/N-5CG4084G28","Hardware","95"
"INC4018718","USB Keyboard issue","Hardware","90"
"INC4018641","Revit 2023 not installing from software centre - INC4008820 need to continue from this ticket","Application Function Issue","95"
"INC4018588","Need to install Revit 2024","Application Function Issue","90"
"INC4018440","VISIO software Installation (REQ2362073) Approved","Access Grant Request","85"
"INC4018146","Onedrive sync issue","Application Function Issue","80"
"INC4017941","Windows Update Failed-1st message send on 12/02","Service/Process Failure","90"
"INC4017917","Need access to Kofax","Access Grant Request","85"
"INC4017859","In my teams mic is not working","Hardware","75"
"INC4017857","Need configure outlook in mobile","Application Function Issue","90"
"INC4017424","One of my C-Port in my laptop not working, and HDMI port also not working","Hardware","85"
"INC4017369","user unable to edit and save any files in etap application","Application Function Issue","95"
"INC4016857","If I open Visio, it shows Enter an office product key","Application Function Issue","80"
"INC4016834","Asana is not opening in the browser","Application Function Issue","90"
"INC4016780","My folder in one drive is not syncing","Service/Process Failure","75"
"INC4016779","Monitors in office not working via docking station | Assign to SD - UK DESKSIDE > Sunny Bharadwa","Hardware","95"
"INC4016662","Account about to be disabled","Access Authentication Failure","90"
"INC4016381","my computer is not charging","Hardware","90"
"INC4016226","Access not available for (\\sli4032\Public\INOPC_Engineering) Network directory","Access Authentication Failure","85"
"INC4016062","Colleague laptop not switching on","Hardware","95"
"INC4015996","unable to add the outlook email to my mobile","Application Function Issue","80"
"INC4015991","cannot enter Oracle","Access Authentication Failure","85"
"INC4015971","user unable to setup authenticator app in new phone","Access Authentication Failure","90"
"INC4015811","Unable to get the options on the Screen to lock when pressed  - Ctrl +ALT+ Del","Application Function Issue","75"
"INC4015804","Unable to open PDF files synched share point folders","Application Function Issue","80"
"INC4015768","One drive shortcut not syncing","Service/Process Failure","70"
"INC4015598","To check the access to client portal","Access Authentication Failure","65"
"INC4015559","As I need to make many training content in Nepali font, particular Preeti and Himali Fontasy, I need","Application Function Issue","80"
"INC4015557","Printing Error through Foxit pdf editor ( Print Successfully sent to printer but not printing)","Application Function Issue","75"
"INC4015487","Microstation User ID and license not working, urgent!","Access Authentication Failure","90"
"INC4015481","User is facing issue in installing the application.","Application Function Issue","85"
"INC4015478","User not able to login MS office product and MFA on mobile not working","Access Authentication Failure","95"
"INC4015150","My laptop is no longer connecting to my two larger screens.  Would you please assist? Thank you.","Hardware","85"
"INC4015114","Getting error with installing applications on New laptop from Software Center.","Application Function Issue","75"
"INC4015102","I need to gain access to adobe illustrator.","Access Authentication Failure","60"
"INC4015078","Request status","Request status","100"
"INC4015003","Zscaler is connected","Network","90"
"INC4014969","Unable to connect external monitor","Hardware","95"
"INC4014879","I would like to change my system date and time settings to UK time and date","Application Function Issue","85"
"INC4014696","AutoCad","Application Function Issue","80"
"INC4014614","Display port is not supported on new laptop","Hardware","90"
"INC4014558","Access Request for pirs.Lewis-LT14@linxon.com to Jasmine.JabaraniK@linxon.com","Access Grant Request","95"
"INC4014519","Sign in to onedrive issues","Application Function Issue","80"
"INC4014498","My desk space is full","Hardware","85"
"INC4014282","Need starlink password from my Laptop","Password Reset","80"
"INC4014205","Need bluetooth driver re-installed","Hardware","80"
"INC4013988","Headset Wireless including Noise Cancellation","Hardware","80"
"INC4013897","GL Dump for Linxon Entities","Service/Process Failure","70"
"INC4013849","Zscaler-Logout password","Password Reset","90"
"INC4013724","Account Lockout","Access Authentication Failure","85"
"INC4013703","Autocad application License required_Karthikeyan Panneer Selvam","Application Function Issue","75"
"INC4013608","Unable to connect Home internet","Network","85"
"INC4013571","Teams are not generating meeting links and are gone from outlook","Application Function Issue","95"
"INC4013570","Cannot send emails from outlook","Application Function Issue","90"
"INC4013489","unable to install revit from software center","Application Function Issue","85"
"INC4013338","Don't have space to install REVIT software.","Application Function Issue","80"
"INC4013336","Name not showing in Mail body or in Teams.","Application Function Issue","75"
"INC4013327","Remove Restriction to access STARLINK website","Access Authentication Failure","90"
"INC4013322","My Laptop speaker is not working","Hardware","95"
"INC4013243","Citrix workspace is not working","Access Authentication Failure","95"
"INC4013231","Blue screen and Laptop overheating","Hardware","90"
"INC4013196","when ever opening PDF file its asking User name and password","Access Authentication Failure","90"
"INC4013171","cannot access my account due to mobile number change","Access Authentication Failure","85"
"INC4012932","SYSTEM PREENTS ME FROM REGISTERING ME FOR A CONFERENCE","Service/Process Failure","80"
"INC4012832","I received an account disablement email.","Access Authentication Failure","95"
"INC4012809","In the Linxon Home Page, in the 'Learning Portal' section, in the 'Gift & Hospitality' training modu","Application Function Issue","80"
"INC4012787","forgot oracle password","Password Reset","95"
"INC4012657","My monitors are not working with my laptop","Hardware","90"
"INC4012620","computer is running really slow and delayed when typing text-1st message send on 11/02","Service/Process Failure","85"
"INC4012613","Outlook hanging","Service/Process Failure","90"
"INC4012534","Need to reimage OS","Store Rebuild","95"
"INC4012409","Foxit PDF becomes unresponsive during initial opening","Application Function Issue","95"
"INC4012349","VAT Clarification in Concur entries","Application Function Issue","90"
"INC4012345","Need to add printer","Hardware","85"
"INC4012300","Visio - License Issue","Access Authentication Failure","80"
"INC4012237","OneDrive does not sync properly showing Error","Service/Process Failure","90"
"INC4012193","Cannot access \\wnld153f002mp\CHBADPUBLIC | Assign to SD - UK DESKSIDE > Sunny Bharadwa","Access Authentication Failure","75"
"INC4012156","Error in Autocad Installatoin","Application Function Issue","95"
"INC4012014","REVIT INSTALLATION ERROR","Application Function Issue","90"
"INC4012013","HILTI PROFIS Anchor Channel - Not showing in Software center","Application Function Issue","85"
"INC4011921","GETS SERVER ACCESS","Access Grant Request","95"
"INC4011713","Unable to login as password not recogonised","Password Reset","95"
"INC4011066","Laptop not shutting down","Hardware","80"
"INC4011045","Existing Employee / Mobile phone is not on Teams","Access Authentication Failure","85"
"INC4010819","Vulnerable Software Upgrade or Removal Required - jre - 8.0.3210.7","Security Violation","90"
"INC4010788","correspondence not available via PIRS","Application Function Issue","90"
"INC4010772","Vulnerable Software Upgrade or Removal Required - jre - 8.0.4410.7","Security Violation","85"
"INC4010704","Log in Timesheet not accessible","Application Function Issue","95"
"INC4010624","autocad uninstalled automatically","Application Function Issue","90"
"INC4010611","Oracle timesheet booking portal is not working other than Company provided internet","Network","80"
"INC4010519","unable to instal outlook and teams on mobile","Application Function Issue","95"
"INC4010466","Not able to update Hourly rate information in Oracle","Application Function Issue","90"
"INC4010464","My Laptop is switching ON Automatically after shut down","Hardware","85"
"INC4010452","Printer is not working","Hardware","80"
"INC4010451","Unable to Run Smartview","Application Function Issue","75"
"INC4010445","Laptop issue","Hardware","70"
"INC4010439","Change of reporting line in Concur.","Access Grant Request","65"
"INC4010402","License issue with Zscaler, it's not working for me.","Application Function Issue","60"
"INC4010338","Laptop Properly not shutdown issue","Hardware","70"
"INC4010331","Authenticator App is not working","Access Authentication Failure","95"
"INC4010330","Need to install google Chrome in my laptop","Application Function Issue","90"
"INC4010321","Monitor display becomes blurry","Hardware","85"
"INC4009950","Cannot Login Windows Pin, Only Password","Access Authentication Failure","90"
"INC4009799","Facial Recognition at Signin is Unavailable","Access Authentication Failure","95"
"INC4009781","No access to builtinteligence","Access Authentication Failure","80"
"INC4009771","No access to workday","Access Authentication Failure","85"
"INC4009686","Cannot access infolinx at home","Application Function Issue","80"
"INC4009685","change approver in Oracle from El Malki, Karim to Navaro Carlos Closed","Access Revoke","95"
"INC4009478","Laptop screen damaged","Hardware","90"
"INC4009442","Location disabled by Admin","Access Revoke","85"
"INC4009311","Internet connectivity issue on WIFI @ INFAR1 location","Network","80"
"INC4009304","Authenticator issue","Access Authentication Failure","75"
"INC4009279","i want to attach printer to pc and it is not working","Hardware","85"
"INC4009275","think-cell - Addin Issue","Application Function Issue","70"
"INC4009233","Needs guidance in configuring the company portal in the mobile device","Application Function Issue","95"
"INC4009231","Oracle Smart View - Missing","Application Function Issue","90"
"INC4009217","Access to Office Printer","Access Authentication Failure","85"
"INC4009162","SAP - Business Objects - Unable to run P006-AP Payment Details by Projects report for other projects","Application Function Issue","90"
"INC4009153","Can't access file folders in Autodesk Docs through Revit software.","Access Authentication Failure","80"
"INC4009110","My laptop is not shutting down properly, which is affecting the battery backup. Kindly request you t","Hardware","85"
"INC4009092","One of the extended screen not working at D-24","Hardware","80"
"INC4009071","Sharepoint not working","Application Function Issue","90"
"INC4009063","my email account shows offline and i dont receive emails","Network","75"
"INC4009057","User Account is disabled","Access Authentication Failure","95"
"INC4009030","I have lost my access to Kofax, I have invoice I must approve","Access Authentication Failure","80"
"INC4008990","Name appears incorrectly on teams","Access Authentication Failure","85"
"INC4008955","Got the Oracle (Finance access for Project Controls), but not able to download the actual cost repor","Access Grant Request","90"
"INC4008932","Need access for KOFAX","Access Grant Request","95"
"INC4008820","Revit 2023 not installing from software centre","Application Function Issue","90"
"INC4008385","having issues log into concur","Access Authentication Failure","80"
"INC4008246","A la demande de Sylvain Cloutier, SVP desactiver le compte de Letitia Fearon","Access Revoke","95"
"INC4008213","I have a message that pops up saying 'Location is turned off, and that I may need to turn it on agai","Application Function Issue","85"
"INC4008191","When I try to print, my laptop has a message that pops up, which says that I need to 'Download Evern","Application Function Issue","80"
"INC4007972","i need access to http://eshop.eisen-pfeiffer.de/","Access Authentication Failure","70"
"INC4007966","Would like to remove the entry from SLI IN Timesheet","Access Revoke","90"
"INC4007954","PDF Issue","Application Function Issue","60"
"INC4007921","Oracle software opening issue","Application Function Issue","75"
"INC4007905","I keep getting a sign-in error message whenever I open any MS Office application","Access Authentication Failure","95"
"INC4007845","Linxon get invited to AtkinsRéalis Town Halls","Access Grant Request","90"
"INC4007837","Unblock user account and password reset","Password Reset","95"
"INC4007832","Please unblock the account and reset the password for below employee","Password Reset","95"
"INC4007787","Edge Browser freeze after open pdf drawings - Replace with ZBook","Hardware","85"
"INC4007760","Achilles Site not responding","Node/Device Down","90"
"INC4007731","Greg Withers name does not appear in Microsoft Teams or Outlook","Application Function Issue","90"
"INC4007727","Login Windows with Pin not working","Access Authentication Failure","85"
"INC4007700","No account for Time Writing available","Access Authentication Failure","80"
"INC4007698","Oracle time sheet page is unable open","Application Function Issue","95"
"INC4007618","Unable to access UK server from INOPC engineering.","Network","75"
"INC4007600","Need adobe pdf reader/acrobat","Access Grant Request","70"
"INC4006979","trusted locations access needed in  excel for primtech BOQ export to be working","Access Grant Request","85"
"INC4006931","REVIT 2024 Installation Problem","Application Function Issue","90"
"INC4006852","LAP TOP ISSUE NOT ABLE TO LOG IN","Access Authentication Failure","80"
"INC4006839","INC4006733 - password reset query","Password Reset","95"
"INC4006819","David Kaya is thrown out of all systems and cannot log in or submit IT ticket","Access Authentication Failure","75"
"INC4006774","Vulnerable Software Removal Required - chrome- 114.0.5735.248","Security Violation","90"
"INC4006723","mfa issue","Password Reset","80"
"INC4006644","Need to add 4th floor printer","Hardware","90"
"INC4006595","I'm unable to sign in to Foxit PDF editor","Application Function Issue","85"
"INC4006586","outlook Not working properly","Application Function Issue","85"
"INC4006576","i need to connect headphone microphone to my laptop","Hardware","90"
"INC4006570","Unable to access the Send this file portal in the system","Service/Process Failure","85"
"INC4006538","Issue with in Templafy Email Signatures user need to update number","Application Function Issue","80"
"INC4006398","Installation of Bentley Project wise Explorer-Reg","Hardware","90"
"INC4006393","Getting access to the 4th floor printer for the email id : (Roshni.Shine@linxon.com)","Access Grant Request","85"
"INC4006390","Storage issue - Shareemail box is full","Application Function Issue","95"
"INC4006348","SAP Business objects unable to login","Access Authentication Failure","90"
"INC4006345","Need to add a 4th floor Printer","Hardware","95"
